,index,comment,n_star,date_time,label,positive_count,neutral_count,negative_count
1792,1792,5 sao loa topin trâuchơi liên_quân mượt mọi người chê_bai dù mua máy sử_dụng 146 kim mã ba đình hà_nội,5,2020-06-15,Positive,3,0,0
1793,1793,máy dùng ngon sạc nhanh nghe gọi to rỏ ràng mọi thứ mượt trơn_tru rieng 1 điểm came biến tiệm cận gọi ko đc nhậy đc nghĩa thực_hiện cuộc_gọi tai màn_hình tắt đưa ngoài màn_hình sáng chức_năng ko đc nhậy,4,2020-10-07,Positive,3,1,0
1794,1794,sản_phẩm sài okk pin sài trâu tiện_ích máy giá hợp_lý,5,2019-05-30,Positive,4,0,0
1795,1795,máy mặt sao bóng_bẩy soi gương đc máy khá dầy k đòi_hỏi giá 3tr610 chip khá pin sục khá nhanh pin 5k 4k sạc 18w viên pin 5k chờ sml luôn cam sao khá cam trc phế lqmb pupg tạm chấp_nhận đc mua về tác vụ thông_thường fb zalo vv mượt sài đc chắc hơn ngày còn game tầm 810 tiếng tèo nhân_viên tgdđ nhiệt_tình kiểu con đà_điểu,5,2020-04-21,Neutral,2,3,1
1796,1796,mới mua 15 thág 10tr490 huhu nay con 9tr190 huhu nhanh lỗ quá dạ mìh mua k tai_nghe blutouth tai_nghe ghim ta,5,2020-03-17,Negative,0,0,2
1797,1797,mới mua 1 tháng màn_hình loạn đi đổi máy mới về cảm_ứng cực_kỳ kém chơi game liên_quân ức_chế bấm k bấm miết miết đau tay mới cảm_ứng,1,2020-04-14,Negative,0,0,1
1798,1798,máy dùng ok vân tay chậm quá nháy 2 mới đc ai giống tôi ko nản ko biết sao đổi đc máy mới ko nhỉ,5,2020-01-14,Neutral,1,0,1
1799,1799,wifi gặp trục_trặc nhìu lần pải reset modem mới trong thiết khác xài bình_thường còn thấy máy ổn máy đẹp theme đẹp chụp hình ok,2,2020-04-21,Positive,2,2,1
1800,1800,mua điện_máy xanh hơn tháng sử_dụng tốt mua cập_nhật miui 11 về camara chụp quay đẹp còn pin đủ dùng một ngày sạc nhanh lo về pin còn về game free fire hay pubg chơi mượt máy hơi ấm thôi nóng mọi người đồn nhân_viên ở điện_máy xanh tư_vấn nhiệt_tình mình thích quá tốt trong tầm giá mọi người mua dùng thử,5,2020-01-16,Positive,5,0,0
1801,1801,mình mua máy 13 ngày mình thấy máy dùng khá ổn pin trâu camera đẹp chơi game mượt máy ám vàng khắc_phục vân tay k nhạy lắm mình đánh_giá 4 sao,4,2019-09-26,Positive,4,0,2
1802,1802,mình mua 1 tuần rmà sao dùng thi_thoảng tự_nhiên sập nguồnmặc dù pin đầy,5,2020-09-03,Negative,0,0,1
1803,1803,chất_lượng kém vs giá sp pin 5000 tụt nhanh quá camera k đẹp dt thường_xuyên đơ lag vaof ứng_dụng văng chán tầm mua redmi xài ok hơn nhìu,1,2020-04-21,Negative,0,1,5
1804,1804,mình xài 2 updat loa hát rè muốn đức màn nhỉ kg đáng đồng_tiền minh bỏ voi 14990 thua,1,2020-10-03,Negative,0,0,2
1805,1805,dùng tốt chơi game ngày k lo hết pin đêm mất 1 đến 2 hiệu_năng chơi game ổn cấu_hình ngon camera 48mp chụp đẹpnói chung k còn j chê,5,2020-04-21,Positive,4,0,0
1806,1806,sao samsung a50s mình kg cài hình_ảnh ghi_chú trong danh_bạ số điện_thoại chán thấy bằng samsung a8,1,2019-09-26,Negative,0,0,2
1807,1807,sản_phẩm quá tốt xài cực mượt xài samsung h mk chuyển ip dùng luôn nv pv rat nhiet tinh,3,2018-08-22,Positive,3,0,0
1808,1808,mấy sai tốt ko tui ko hài cấu_hình mạnh ko nóng mấy cầm dể chịu bỏ_túi khó_chịu,4,2020-12-04,Positive,2,1,0
1809,1809,mua dc hơn 1 tháng r cảm_nhận mình pin tuột nhanh k tưởng mặc_dù tắt hết đa_nhiệm lâu_lâu cảm_giác đơ màn_hình,3,2020-05-04,Negative,0,0,2
1810,1810,sử_dụng đc vài ngày thấy máy khá oke chụp ảnh ko đẹp iphone nhìn ko chân_thật lắm đc camera góc rộng ok chụp hình sáng hình_ảnh đc đẹp_mắt,4,2020-06-06,Positive,1,1,0
1811,1811,máy mới mua dc 10 ngày dùng ok k nóng k lag pin hơi kém nói_chung ok pin kém quá cách nào khắc_phục dc tuyệt 5,5,2020-06-19,Negative,1,1,1
1812,1812,mình mua hồi 611 sao cam quay video ngày lẫn đêm nhiễu hạt ạ,3,2019-11-30,Negative,0,0,1
1813,1813,mới mua thứ 2 4990k hôm_nay 5390k nói_chung ok thấy bạn chê xem 1 thời_gian thế_nào,5,2020-04-21,Positive,2,0,0
1814,1814,nói_chung máy sài ok ar100 quá tệmong sớm bản cập_nhật mới,2,2020-04-15,Neutral,1,0,1
1815,1815,sản_phẩm đẹp cấu_hình khủng camera sắc nét nhìn sang hài_lòng mua sản_phẩm,5,2018-05-11,Positive,4,0,0
1816,1816,mua dùng ổn ghi_âm cuộc_gọi tính_năng mình cầntôi tiếc về,1,2020-02-03,Neutral,1,0,1
1817,1817,pin kém sạc siêu chậm luôn hơn 5 tiếng đầy lỗi cảm_ứng tai_nghe khuyên bạn mua m đổi sang mua e realme 5pro chấm 100đ luôn,1,2020-09-03,Negative,0,0,3
1818,1818,sp tốt chs game sai 2tháng r mới ổn_định mượt phần camera hơi ảo máy chs game nặng pubg hơi nóng hk tản_nhiệt tốt chọn con mấy nay ổn th ạ,5,2020-06-28,Negative,1,1,1
1819,1819,sản_phẩm mới mua ok giá tiền mấy chị nhân_viên vui_vẻ thân_thiện,5,2020-03-13,Positive,3,0,0
1820,1820,sp ổn trong tầm giá chơi game nặng ở mức_độ chấp_nhận còn đôi_chút vấn_đề về khả_năng kết_nối wifi mong cải_thiện,4,2020-02-21,Negative,1,1,1
1821,1821,hình_ảnh đẹp camera chụp đẹp pin khỏe chơi game mượt thích lắm dùng sướng hơn ip xứng_đáng đồng_tiền,5,2020-10-03,Positive,5,0,0
1822,1822,kết nhất mặt tuyệt đẹp âm_thanh tốt chơi game bao mượt nói_chung quá tuyệt_vời,5,2020-04-22,Positive,4,0,0
1823,1823,sp trải_nghiệm ngôn trong ngoàinhất ở mang hình siêu nétcòn chơi game lqmb siêu mượtđợi tới 19giam 300k m hớt ế nó về kaka,5,2020-04-21,Positive,4,0,0
1824,1824,hỏi sao cảm_biến vân tay kết_hợp nút nguồn tác_dụng akđược loa to hỗ_trợ sạc nhanhcũng sạc thường thôi,1,2020-07-31,Neutral,0,2,0
1825,1825,may lag ko tả đc oppo f7 cù mjnh mua 2 nam r vẩn mượt hơn nhiu ung_dung game cung muot hơn realme gà wa,1,2020-04-21,Negative,0,0,2
1826,1826,máy dùng 15 ngày_nay pin trâu dùng mượt mình xài fb ytb ổn tuy_nhiên màn_hình con hơi ám vàng nhẹ xíu máy pin sạc nhanh hơn 2h xíu đầy,5,2020-02-28,Positive,2,0,1
1827,1827,ưu_điểm cấu_hình tốt màn_hình đẹp nhược_điểm màn_hình thỉnh_thoảng đơ khởi_động dt nhận_diện khuôn_mặt tệ nhận_diện set up xong còn nhận_diện luôn nhận_diện dấu vân tay tệ y chang nhận_diện khuôn_mặt,3,2020-04-29,Negative,1,1,1
1828,1828,mới mua nhập văn_bản nhảy ngoài lạc lỗi j ạ pin nhanh hét quá,1,2020-08-13,Negative,0,0,2
1829,1829,mới mua về dùng dc 1 ngày lỗi nghe nhạc hoạc lướt fbtiktok mở max âm_lượng ko nghe chỉnh âm ntn cug ko nge khởi_động máy hoặc tắt nguồn mở mới nghe dc nhug dùng típ,3,2020-04-21,Negative,0,0,1
1830,1830,pin sac khoảng 2h camera chup đẹp mới mua biết hết chức_năng tam ổn,4,2019-06-12,Neutral,1,2,0
1831,1831,dùng thời_gian lagg kinh_khủng ram 8gb mở 2 tab bàn_phím chậm_rì_rì màn_hình vệt mờ mờ kì trời,3,2020-04-21,Negative,0,0,2
1832,1832,coi video ảnh facebook ko đc tải ko nổi biết mạng yếu hay điện_thoại,4,2020-02-22,Negative,0,0,1
1833,1833,máy mau hết pinra điện_máy xanh kêu trả ko kiểm_tra đợi gửi về hãngcảm thấy buồn,1,2019-08-25,Negative,0,0,3
1834,1834,may nghe tốt ram 12g thi ok may ho trợ trả_góp ko ad minh mới lấy chiều xài tốt lắm thời_gian thế_nào thi biết dc,5,2020-04-21,Positive,3,1,0
1835,1835,tôi mua_sắm a70 dc 2 tuân nối chung may khá ổn chơi pubg đồ_họa hd va cao thôi còn lqmb cũng nối chung 2 games chên chơi ko rật lác pin bt chơi game 65h coi fim hơn 10 h mơ khóa hơi tệ tay sạch mơ ko dc tay bận mơ phát dc liền chả hiểu sao,4,2019-03-08,Neutral,1,2,1
1836,1836,hiện mình dung iphone se đời cũ đến giờ tốt hy_vọng thời_gian tới đón em se 2 về,5,2020-04-17,Positive,1,0,0
1837,1837,mấy bác em hỏi sạc 1 ℅ 100 mất bao_lâu sao máy tôi sạc chậm vãi gần 3h,5,2020-07-29,Negative,0,0,1
1838,1838,máy sài êm mượt còn thắc_mắc iphone7 plus chống nước ko rơi xuống_nước 1 lần ko sao,5,2019-08-29,Positive,2,0,0
1839,1839,ok pin trâu màn_hình đẹp máy đẹp nói_chung đáng tiền,5,2020-04-21,Positive,4,0,0
1840,1840,chú thất_vọng về vân tay thật vân tay mở chục lần 1 lần tệ sử_dụng thường_xuyên lag k mượt lắm,2,2020-03-02,Negative,0,0,2
1841,1841,wifi hơi yếu cam hơi yếu nói_chung cải_tiến nha bác vin ủng_hộ việt_nam,3,2020-10-03,Negative,1,0,2
1842,1842,điện_thoại chất lượngtôi hài_lòng mua sản_phẩm bên mìnhdịch vụ hổ trợ tuyệt_vời,5,2020-07-25,Positive,2,0,0
1843,1843,mua 2 tháng nhận_xét về điện_thoại chơi game ổn chip 660 camera chụp tạm pin trâu lắm sạc pin khá nhanh mất 2h đầy,5,2019-07-26,Neutral,1,2,0
1844,1844,loa hay lắm nhỏ bắt wifi hơi yếu camera buổi ngày chụp ổn buổi đêm camera xấu vân tay nhạy thao_tác mượt nói_chung máy ngon trong tầm giá,4,2020-03-18,Neutral,1,3,0
1845,1845,máy ngon hiệu_năng mạnh camera tốt camera chụp 64mp nét nói_chung tầm giá 6tr máy hoàn_hảo,5,2020-04-28,Positive,3,1,0
1846,1846,mình mới mua đc 1 ngày điện_thoại sài mượt xem phimnghe nhạc ko giật lag bắt wifi tốt mình con_gái ko chơi game nặng ko biết thế nàocamera hơi tốidùng app ko saomỗi tội pin 5000 bằng pin 4000 dù ko chơi game nhân_viên phục_vụ tận_tình điện_thoại ổn trong tầm giá 5 sao,5,2020-04-26,Positive,4,1,2
1847,1847,máy tầm trung đc trang quá tốt pin tốt màng nuốt ruồi giữ sạc nhanh cấu_hình tốt trong tầm giá camera chụp khá đẹp chụp đêm rõ thiết_kế ưng_ý mình nói_chung tuyệt_vời,5,2020-04-21,Positive,5,0,0
1848,1848,máy nhanh hết pinthua xa opp11chỉ đc chụp hình sánh thg hiệu khách điểm trừ tiếpthế mai tự_nhủ lòng tgdd đổi 1 đt giá tiền nàyvà mong ko gặp 2 bạn nhân_viên pr về đt,1,2020-04-21,Negative,1,0,3
1849,1849,mới mua 2 ngày máy sài mượt nghe nhạc tuyệt hay bút spen tuyệt_vời,5,2019-03-11,Positive,2,0,0
1850,1850,máy đẹp tiền ổn chua thay lỗi nhé tốt hơn mong_đợi anh_chị_em ghé mua dùng thử nhen,5,2020-04-20,Positive,2,0,0
1851,1851,thích nokia mua nhìn mẫu_mã thấy ok hơi tiếc chi 4 ram ko sạc nhanh,4,2020-06-22,Neutral,2,0,2
1852,1852,máy lấy tối xài mượt tất ổn pin xuống hơi nhanh nói_chung mới mức giá ngày quá ngon nhân_viên tgdd tiên hưng đông hưng nhiệt_tình chu_đáo,4,2019-04-18,Positive,3,1,1
1853,1853,sử_dụng 2 tháng pin sài ngày k hết sạc cực_kì nhanh tác vụ ổn lâu_lâu lad tí mình fb youtube thôi ổn giá tiền chấp_nhận,4,2020-04-21,Neutral,1,2,1
1854,1854,mua gần nửa tháng dùng thích lag dật j đúng ngon xứng câu tiền lào đấy,5,2019-08-14,Positive,2,1,0
1855,1855,máy xài ok quá bắn bubg mượt k giật lag chụp hình đẹp loa ngoài nghe hay kinh_khủng giá hợp_lí mua gặp bé nv vivo tư_vấn dễ_thương,5,2019-12-17,Positive,6,0,0
1856,1856,mua 1 tuần cảm_nhận thấy muốn đổi lướt wet đứng pin 4500 3000 tầm 10tr thật vọng,2,2020-03-13,Negative,0,0,3
1857,1857,máy dùng khá oke pin oke game oke phần hướng cử hay loạn gõ nhanh quá tự nhận về home update chỉnh_sửa thêm,4,2020-06-13,Positive,3,0,1
1858,1858,e mua máy mới racảm thấy pin xài 9h đến 9h10h đêm còn pinmình chơi game xem phim loa lớnchụp hình nét lắm mình hay chơi liên_quân thấy đánh game mượt ok lắmmình hay sạc dùngmà máy nóng mấy thấy mua con oppo uổng tiền đổi sam sung hihi,5,2020-07-13,Positive,5,1,0
1859,1859,máy tốt y19 ngon nhất trong tầm giá thậm_chí hơn quá hời túi_tiền,5,2020-01-13,Positive,2,0,0
1860,1860,xài máy 4 ngày máy xài khá ổn pin trâu lắm tuy_nhiên máy xài 2 ngày hiện_tượng đứng máy đen màn_hình mình mở xài bình_thường đến hôm_nay lần sạc pin thứ 2 máy tự_động tắt nguồn xem tiếp coi máy thế_nào lỗi máy ổn lắm,3,2020-06-04,Negative,1,1,1
1861,1861,tất ok riêng về pin a71 thất_vọng pin 100 chơi game đọc báo vv tụt khá nhanh pin 4300 thôi 4500 mua đươc 1 tháng 20 ngày chai mất 3pin sạc 97 thất_vọng 1,1,2020-03-20,Neutral,1,0,1
1862,1862,sản_phẩm tốt trong tầm giá pin bền sóng wifi khỏe nhân_viên phục_vụ nhiệt_tình chu_đáo,5,2020-02-07,Positive,4,1,0
1863,1863,thời_gian sử_dụng mình đánh_giá máy mượt nhanh bn tốc_độ làm tươi tự_động chọn á nó cân_bằng giữa 60hz và90 hz pin nó cầm pin lâu hơn sạc siêu nhanh 20100 trong 35 phút đầy chụp ảnh đẹp màn sắc rực giữ độ chi_tiết chân_thực màn_hình đẹp hỗ_trợ hdr10 dcip3 k chê đâu đc ram rom thoải_mái sài vivu quay_phim bật siêu ổn_định giới_hạn về full hd 60fps quay đẹp k thua j 4k đc nó chống rung tốt,5,2020-04-21,Positive,6,0,0
1864,1864,dùng ổn mượt nhanh pin dùng đc 1 ngày làm vs tab vụ hỗn_hợp cam ko làm_bạn thất_vọng,5,2020-08-13,Positive,3,1,0
1865,1865,điện_thoại tốt giá hợp_lý đặc_biệt nhân_viên nhiệt_tình hoà_đồng vui_vẻ khách_hàng tặng 100 điểm tgdđvừa mua em ngày hôm tgdđ ấp lộ ngang bình đức châu thành tiền_giang,5,2020-02-08,Positive,3,0,0
1866,1866,lần đầu_tiên mua vivo về dùng thử xem sao 1 tuần sử_dụng thấy máy đẹp pin trâu chụp hình đẹp mượt sống wifi nghe gọi tốt,5,2020-09-05,Positive,5,0,0
1867,1867,điện_thoại xài êm mượt đứng máy bảo_mật tốt nhỏ gọn tay,5,2018-03-07,Positive,3,0,0
1868,1868,ko biết mọi người chơi game thế_nào mình mua về đánh liên_quân toàn đứng hình một mới đi đcfps tụt kinh_khủng 60 xuống 53 tăng lênmáy ko thấy nóngchán chip gameming chán đờibật tăng_tốc đỡ hơn đc tí,4,2020-06-01,Negative,0,0,1
1869,1869,lần đầu mình dùng oppo nhận_xét mình tệ pin sạc nhanh tuột kém tốc_độ sạc máy_ảnh thôi khỏi bàn tiếp camera quảng_cáo dữ_dội chụp còn thua xa con ss a6 mình hình a6 16mp phóng to chẳng khác j1 mấy đừng sánh tới sony hay hãng nào khác nói_chung 1 trải nghiệm thất_bại khuyên mấy bạn trong tay 8tr chọn dòng khác ổn hơn chân_thật hơn,1,2020-09-02,Negative,1,2,2
1870,1870,sao mới mua sạc pin nóng máy củ sạc thế nhỉ f11 pro mát hơn hay lỗi sạc chán quáai,3,2020-06-26,Negative,0,0,1
1871,1871,mọi người chơi game tắt chế_độ gaming tubor đi máy k hiện_tượng đứng hình k quá nóngm thử mn dùng máy thử xem thế_nào nhécse ai thử thử 1 lần xem thế_nào,1,2020-04-15,Negative,0,0,1
1872,1872,mình mua 2 hôm hôm_nay quyết_định mang trả hàng gọi video call âm_thanh tệ lắm rè nghe rõ hình_ảnh nhòe rõ hình_thức điện_thoại đẹp ah dịch_vụ tgdđ giao hàng nhanh mmình đánh_giá tiếp về dịch_vụ trả hàng nhé,3,2020-04-19,Negative,2,0,3
1873,1873,mình mới mua 1 tuần máy dùng ổn_định mặc_dù cấu_hình chơi game nặng k quá tốt_tính_năng khác về trải nghiệm camera màn_hình pin ok mấy thánh dùng hết tính_năng nhảy phán nọ đúng,5,2020-05-16,Positive,4,0,1
1874,1874,máy mình mua 11 ngày gặp 2 lỗi lỗi thứ 1 hay tự_động_chạm màn_hình tầm 30s 1 lần hơn lỗi thứ 2 hay đơ màn_hình tắt nguồn thử máy rơi_rớt hay đập,1,2020-07-27,Negative,0,0,2
1875,1875,mua 2 tháng thứ 1 xài hơn 1 tháng trục_trặc cửa_hàng nhiệt_tình đổi khác đổi t2 về trục_trặc y chang nản,1,2020-01-07,Neutral,1,0,1
1876,1876,máy mua 10 ngày khá ok pin trâu cấu_hình tốt camera ok cảm_ứng lâu_lâu lỗi 1 chút tóm khá ok,4,2020-07-14,Positive,4,0,1
1877,1877,san phâm tốt xài tây ok thấy moi nguoi bảo nhanh hết bin luc đâu minh cung cảm_thấy v xài thág cảm_thấy tiết_kiệm bin luôn,5,2019-11-17,Positive,1,1,0
1878,1878,mới mua 1 tuần xài ok pin trâu sạc nhanh mọi thứ ổn riêng camera k rõ lắm nhân_viên tgdd nhiệt tìnhra về còn xách máy tới xe_khách_hàng ủng_hộ tgdd,5,2020-07-06,Positive,3,0,1
1879,1879,sao mở nhạc_vẻ máy rung rêm phần lưng màn_hình nhỉ chạm nhẹ màn_hình thấy rêm rõ_rệt k biết ntn,4,2019-12-08,Negative,0,0,1
1880,1880,máy xài êm mượt mình xài năm cảm thấy thích thiết_kế nhỏ gọn dễ sử_dụng,5,2018-09-09,Positive,2,0,0
1881,1881,sản_phẩm tốt trong tầm giá giờ thấy lỗi công_nhận pin đỉnh thật 3tr snap 632ram 4gsạc nhanh typec khỏi bàn nhu_cầu bình_thường thoải_mái chúc vsmart thành_công,4,2020-12-07,Positive,4,1,0
1882,1882,em hỏi em bấm mục vân tay làm mk nó hiện bảng em khởi_động máy lần khắc_phục đc ạ,5,2020-04-21,Negative,0,0,1
1883,1883,tuyệt_vời 1 sp ntnmới mua vài ngàymọi thứ chuẩnpin trâu xài đủ thể_loại chơi vài trận liên_quân hơn 1 ngày4g wifi okkhông bình_luận dướixạc nhanh quá nhanh,5,2020-03-28,Positive,3,0,0
1884,1884,cảm_biến vân tay kém google chrome hay đơ màn_hình trắng luônnhân viên nhiệt_tình,3,2020-07-30,Negative,1,0,2
1885,1885,tốt cam tệ thôi nhé chụp ảnh dù dùng app hay cam thường xấu lắm luôn huhuu,3,2020-07-21,Neutral,1,0,1
1886,1886,mới mua 1 tuần chai 1 pin vợ mình mua hôm 83 chai 2 sử_dụng bình_thường ghim sạt zin cóc zin con iphone 6 mình sd hở 1 năm chai 6 7 plus lỗi pin ah,4,2019-07-04,Negative,0,0,2
1887,1887,mọi thứ tốt loa quá nhỏ bật hết công_suất bao_nhiêu nhỏ phân vs vs live hơi thất_vọng,3,2020-08-15,Neutral,1,0,1
1888,1888,mới mua hồi sáng thế_giới di_động tt định quán lòng máy nghe to chử rõ phù_hợp người lớn_tuổi còn độ bền biết giá tiền quá rẻ mình mua giảm_giá 40k khach hàng thân_thiện nhân_viên tư_vấn nhiệt_tình cám_ơn hẹn ngày gặp,4,2020-06-25,Positive,4,0,0
1889,1889,cam quá tệ mờ tịt cam còn tạm tạm máy_móc tạm_thời mới mượt ko biet thế_nào nản,1,2020-03-24,Negative,1,0,2
1890,1890,mình sinh_viên cấp 3 muốn mua máy giá rẻ chơi game cấu_hình bình_thường mua con joy 3 bắt wifi cực kém máy hay lag giật đơ chơi liên_quân ở mức cấu_hình thấp nhất giật lag đổi trả nhân_viên bảo máy khoảng tầm 3 đến 4 triệu chơi game mới ngon tóm đổi trả mình thất_vọng mua em về,1,2020-04-21,Negative,0,0,3
1891,1891,tầm giá oppo chụp ảnh đẹp hơn hay vivo đẹp hơn hãng nào chụp ảnh tối đẹp hơn,4,2020-08-14,Negative,0,0,0
1892,1892,thật tuyệt_vời sở_hữu samsung galaxy a10 pin trâu sống khỏe bảo_mật vân tay chụp hình siêu nétnhung ram 2g hơi thấpquan trọng giá hợp_lý,4,2019-08-22,Positive,5,0,1
1893,1893,sp rẻ chơi game lqmb mượtmang hình cực nét pin tâm ơnhỏi tệ ở phần lóa ngoài,5,2020-04-21,Positive,3,1,1
1894,1894,xài oke mượt nhân_viên nhiệt_tình phục_vụ chu_đáo hài_lòng đmx 5 sao,5,2020-02-21,Positive,2,0,0
1895,1895,mình dùng thử sản_phẩm nó khá oke chơi game lâu nó ấm ấm máy một_tí thiết_kế đẹp vote 4,4,2020-06-17,Positive,2,0,1
1896,1896,sản_phẩm đẹp giá êm nói_chung tất tuyệt em thắc_mắc em xài điện_thoại 7 tiếng rưỡi còn 28 pin ổn lắm ạ vv,5,2020-05-30,Positive,2,1,0
1897,1897,quá tốt trong tầm giá pin trâu máy mát sạc siêu nhanh game ngon_lành dùng hơn iphone 8 plus luôn,5,2020-06-04,Positive,3,1,0
1898,1898,mình mua 16 tiếng dùng tạm bluetooth chán lắm nghe nhạc giật giật camera tạm ổn,3,2020-09-01,Negative,0,2,2
1899,1899,mới mua một bạn nhân_viên hỗ_trợ nhiệt_tình cực mình bóc đến hộp thứ 2 mới mua hộp thứ nhất xước camera mình quên hỏi cách sạc 3 lần đầu ip7 biết sạc 8 tiếng kích pin dòng ip mọi người,5,2019-07-15,Positive,1,0,0
1900,1900,sản_phẩm xài mượt pin khoẻ chụp hình xoá phong tuyệt_vời nói về tầm giá iphone 7 plus đáng mua sử_dụng,5,2018-09-06,Positive,4,1,0
1901,1901,sp nhìn khá ổn game online lắc kinh_khủng fps 30 lắc phát xuống 16 bó taythem mới xài hai ngày lỗi mất sim mang cửa_hàng ko chịu đổi,3,2019-03-11,Negative,1,0,3
1902,1902,mình mới mua máy gần 1 tuầnhiệu năng sử_dụng hết máy đẹp camera chụp hình đẹp chơi game mượttuy nhiên pin sài thấy mau tuộtcòn mọi trải nghiệm khá tốt,4,2020-09-01,Positive,4,0,1
1903,1903,tất ok trừ cột sóng dùng mạng ổn_định hay tụt mạng mất_mạng 3g4g mặc_dù mình dùng 2 sim 2 mạng khác nhau thay_đổi lướt wed,3,2019-10-12,Neutral,1,0,1
1904,1904,nói máy xài hư lỗi đổi máy mới về nhà lag vs cam còn tệ hơn củ làm_sao,1,2020-07-02,Negative,0,0,2
1905,1905,sản_phẩm xài ok trong tầm giá còn đc tặng tai_nghe pin trâu đc 2 ngày cài aurora store đầy_đủ ứng_dụng chplay nha còn youtube cài bằng youtube vance,5,2020-03-06,Positive,4,1,0
1906,1906,samsung galaxy a51 mình mua gần 2 tuần lỗi hệ_hành hay tự tắt nguồn đt,2,2020-05-02,Negative,0,0,1
1907,1907,nhận máy ngày 2610xài mượt okcamera khỏi bànsac pin nhanhtheo mình ok h mình xài oppo thôivì mê sơn tùng mtp nv tư_vấn nhiệt tìnhlịch,5,2019-10-29,Positive,4,0,0
1908,1908,máy chạy mượt cb vân tay nhận_diện khuôn_mặt ổn camera trc khá nét camera cụm 4 thwcj chất 1 3 còn trang_trí đẹp thôi,3,2020-04-21,Positive,3,1,0
1909,1909,moi mua đuoc 10 ngày sản_phẩm đẹp màn_hình to camera thuong chụp xấu chụp bằng app đẹp luot web facebook mượtxem phim rõ nét loa to nhânviên vũ kha hằng tgdd c1b p3 trần phú tpbạc liêu đẹp vui_vẻ nhiet tình thân_thiện dễ thuong mua dt ko choi game chụp hình facebook instagram youtube luôn_luôn ủng_hộ tgdd,5,2019-03-24,Positive,5,0,1
1910,1910,gia_đình tôi mua ở điện_máy xanh đến điện_thoại lỗi đổi đem kiểm_tra nói sập mạng mọi người tôi hỏi buôn_bán gian_dối đúng yêu_cầu xác_nhận phía nhân_viên,1,2019-06-12,Negative,0,0,1
1911,1911,mình mới mua hôm tgdd lục yên yên bái bạn nữ nhiệt_tình ạ máy ko biết chê điểm đúng trải nhiệm đáng đồng_tiền,5,2020-04-21,Positive,3,0,0
1912,1912,máy ổn nhân_viên phục_vụ tạm sáng nhận hàng khu lê lợi lục ngạn bắc_giang,4,2020-01-29,Positive,1,1,0
1913,1913,thất_vọng về chất_lượng máy lướt web chậm giật lag cảm_ứng chậm lag nói chug tầm giá thể mua đc máy tốt hơn,2,2020-03-26,Negative,0,1,3
1914,1914,đầu phân_vân em nó vs iphone xs max sai_lầm chọn em nó mua chương_trình thu cũ đổi_mới trừ 5tr giảm_giá con a5 2015 thu vô_giá 67tr đời em tốn 153tr đánh_giá máy tốt wifi ổn_định xài thêm sim 4g vietnammobile sóng full về quê chụp ảnh đẹp mọi tác vụ mượt pin ok nói_chung đáng đồng_tiền bát gạo hối_hận mua em nó,5,2020-01-24,Positive,6,0,0
1915,1915,sản_phẩm ổn trong tầm giásản phẩm đẹp sang_trọng ít nóng máy bin 4030 nhanh hết,5,2019-07-12,Positive,3,1,1
1916,1916,hơn một tháng sử_dụng mình đánh_giá tất mọi thứ ok nha biết sao người nói lỗi nhỉ mình bất_kỳ lỗi nào lần đầu mình mua điện_thoại hãng xiaomi cảm_thấy xứng_đáng mua em nó,5,2020-03-05,Positive,2,0,0
1917,1917,má ngoại_hình đẹp tuy_nhiên sử_dụng thấy khá yếu giật lag khá thường_xuyên mặc_dù tắt gần hết ứng_dụng máy,2,2020-01-17,Neutral,1,0,1
1918,1918,tốt mọi cấu_hình ok kiểu máy ko đc thời_trang lắm liên_quân ok lắm,5,2020-01-15,Positive,2,0,1
1919,1919,mua mấy ngày cảm_thấy mọi thứ tốt ngoại_trừ màn_hình nói thật hơi tệ thôi nói_chung hài_lòng,5,2020-02-27,Neutral,1,0,1
1920,1920,hôm mình thấy khuyến_mãi xong trải nghiệm thấy mượt quá mượt mua xong về xài thấy chê đâu máy hơi nặng cầm_chắc_tay,5,2020-04-17,Positive,2,1,0
1921,1921,hôm lấy máy mình vội công_nhân_viên k kiểm_tra phụ_kiện đầy_đủ về hôm mình mới thấy thiếu cây lấy sim nó nhỏ thôi k đáng k bất_tiện_k tháo sim đáng_lẽ giao hàng nhân_viên kiểm_tra khách quá chán,2,2020-07-25,Negative,0,0,1
1922,1922,mình fan xiaomi khá lâu xài xiaomi redmi note 4đổi redmi note 7 4 ngày xài tốt hiệu_năng mượt cam khá đẹp pin trâu kh trâu bằng redmi note 4 màn_hình nét đẹp nói_chung ổn_định trong tầm giá 5tr,5,2019-07-17,Positive,5,2,0
1923,1923,mua con 50s sd 2 tháng cảm_nhận chụp hình ok đẹp pin mau hết sạc nhanh cảm_biến vân tay nhạy k sử_dụng ứng_dụng wattpat đọc sách lâu_lâu màn_hình giựt liên_tục out mới hết chả hiểu nổi còn chơi game chơi đc mấy game nhẹ nấu_ăn nstt kiểu còn chiến liên_quân coi bỏ lag game cực_kì thua con xiaomi redmi4 cũ đt giá tầm 6tr mua con hơi tiếc,3,2020-11-01,Negative,1,2,3
1924,1924,máy đẹp vân tay nhạy chiến game khỏe máy ngon trong tầm giá,5,2020-01-17,Positive,4,1,0
